accession_no,ticker,cik,filed_at,filing_date,item_codes,body_keywords,direction,direction_confidence,direction_source,t0_close,t1_close,t5_close,next_day_return,five_day_return,label_t1,label_t5
0000950170-25-097908,GTY,0001052752,2025-07-23,2025-07-23,2.02|9.01,,,0.0,,27.22,27.51,27.94,0.01065,0.02645,B_long,B_long
0000950170-25-058114,GTY,0001052752,2025-04-24,2025-04-24,5.07,,,0.0,,27.57,27.38,28.15,-0.00689,0.02104,neutral,B_long
0000950170-25-057497,GTY,0001052752,2025-04-23,2025-04-23,7.01|9.01,restate,short,0.85,body_keywords,28.51,27.57,27.99,-0.03297,-0.01824,A_short,B_short
0000950170-25-057490,GTY,0001052752,2025-04-23,2025-04-23,2.02|9.01,restate,short,0.85,body_keywords,28.51,27.57,27.99,-0.03297,-0.01824,A_short,B_short
0000950170-25-018986,GTY,0001052752,2025-02-12,2025-02-12,7.01|9.01,restate,short,0.85,body_keywords,30.12,30.95,30.22,0.02756,0.00332,B_long,neutral
0000950170-25-018954,GTY,0001052752,2025-02-12,2025-02-12,2.02|9.01,restate,short,0.85,body_keywords,30.12,30.95,30.22,0.02756,0.00332,B_long,neutral
0000950170-25-009847,GTY,0001052752,2025-01-28,2025-01-28,1.01|2.03|7.01|9.01,covenant_violation|restate,short,0.85,body_keywords,31.0,30.37,30.94,-0.02032,-0.00194,B_short,neutral
0000950170-24-130591,GTY,0001052752,2024-11-25,2024-11-25,1.01|2.03|7.01|9.01,covenant_violation|restate,short,0.85,body_keywords,32.87,32.55,32.31,-0.00974,-0.01704,neutral,B_short
0000950170-24-116712,GTY,0001052752,2024-10-23,2024-10-23,7.01|9.01,restate|share_dilution_pipe,short,0.85,body_keywords,32.26,32.62,31.91,0.01116,-0.01085,B_long,B_short
0000950170-24-116706,GTY,0001052752,2024-10-23,2024-10-23,2.02|9.01,share_dilution_pipe,,0.0,,32.26,32.62,31.91,0.01116,-0.01085,B_long,B_short
0001193125-24-197878,GTY,0001052752,2024-08-09,2024-08-09,8.01|9.01,covenant_violation|non_reliance|shelf_takedown,short,0.95,body_keywords,30.36,30.3,30.56,-0.00198,0.00659,neutral,neutral
0001193125-24-189939,GTY,0001052752,2024-07-31,2024-07-31,1.01|9.01,covenant_violation|issue_and_sell_shares|material_adverse_change|non_reliance|shelf_takedown,short,0.95,body_keywords,29.62,30.36,29.99,0.02498,0.01249,B_long,B_long
0000950170-24-086096,GTY,0001052752,2024-07-24,2024-07-24,7.01|9.01,restate,short,0.85,body_keywords,30.73,31.77,29.62,0.03384,-0.03612,A_long,A_short
0000950170-24-086084,GTY,0001052752,2024-07-24,2024-07-24,2.02|9.01,,,0.0,,30.73,31.77,29.62,0.03384,-0.03612,A_long,A_short
0001193125-24-125838,GTY,0001052752,2024-05-01,2024-05-01,5.07,,,0.0,,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0000950170-24-048489,GTY,0001052752,2024-04-25,2024-04-25,7.01|9.01,restate,short,0.85,body_keywords,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0000950170-24-048475,GTY,0001052752,2024-04-25,2024-04-25,2.02|9.01,,,0.0,,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0001193125-24-038526,GTY,0001052752,2024-02-16,2024-02-16,8.01|9.01,restate|shelf_takedown,short,0.85,body_keywords,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0000950170-24-015312,GTY,0001052752,2024-02-14,2024-02-14,7.01|9.01,restate,short,0.85,body_keywords,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0000950170-24-015306,GTY,0001052752,2024-02-14,2024-02-14,2.02|9.01,,,0.0,,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0000950170-24-009149,GTY,0001052752,2024-01-31,2024-01-31,5.03|9.01,restate,short,0.85,body_keywords,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0000950170-23-055268,GTY,0001052752,2023-10-25,2023-10-25,7.01|9.01,restate,short,0.85,body_keywords,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0000950170-23-055254,GTY,0001052752,2023-10-25,2023-10-25,2.02|9.01,,,0.0,,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0000950170-23-053982,GTY,0001052752,2023-10-18,2023-10-18,1.01|2.03|7.01|9.01,covenant_violation|restate,short,0.85,body_keywords,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0000950170-23-034779,GTY,0001052752,2023-07-26,2023-07-26,7.01|9.01,restate,short,0.85,body_keywords,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0000950170-23-034775,GTY,0001052752,2023-07-26,2023-07-26,2.02|9.01,,,0.0,,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0000950170-23-015863,GTY,0001052752,2023-04-28,2023-04-28,5.07,,,0.0,,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0000950170-23-014866,GTY,0001052752,2023-04-26,2023-04-26,7.01|9.01,restate,short,0.85,body_keywords,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0000950170-23-014857,GTY,0001052752,2023-04-26,2023-04-26,2.02|9.01,,,0.0,,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0001193125-23-060010,GTY,0001052752,2023-03-03,2023-03-03,1.01|9.01,covenant_violation|issue_and_sell_shares|material_adverse_change|non_reliance|shelf_takedown,short,0.95,body_keywords,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0001193125-23-049015,GTY,0001052752,2023-02-24,2023-02-24,8.01|9.01,at_the_market_offering|covenant_violation|issue_and_sell_shares|material_adverse_change|non_reliance|shelf_takedown,short,0.95,body_keywords,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0000950170-23-004253,GTY,0001052752,2023-02-24,2023-02-24,5.02|8.01|9.01,,,0.0,,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0000950170-23-003823,GTY,0001052752,2023-02-22,2023-02-22,7.01|9.01,dividend_increase|restate,short,0.85,body_keywords,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0000950170-23-003817,GTY,0001052752,2023-02-22,2023-02-22,2.02|9.01,,,0.0,,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0000950170-23-001033,GTY,0001052752,2023-01-23,2023-01-23,7.01|9.01,restate,short,0.85,body_keywords,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0000950170-22-027053,GTY,0001052752,2022-12-28,2022-12-28,1.01,restate,short,0.85,body_keywords,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0000950170-22-020208,GTY,0001052752,2022-10-26,2022-10-26,7.01|9.01,restate,short,0.85,body_keywords,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0000950170-22-020207,GTY,0001052752,2022-10-26,2022-10-26,2.02|9.01,,,0.0,,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0001564590-22-026703,GTY,0001052752,2022-07-27,2022-07-27,7.01|9.01,restate,short,0.85,body_keywords,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0001564590-22-026702,GTY,0001052752,2022-07-27,2022-07-27,2.02|9.01,,,0.0,,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0001564590-22-016441,GTY,0001052752,2022-04-28,2022-04-28,5.02|5.07|9.01,,,0.0,,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0001564590-22-016137,GTY,0001052752,2022-04-27,2022-04-27,7.01|9.01,restate,short,0.85,body_keywords,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0001564590-22-016130,GTY,0001052752,2022-04-27,2022-04-27,2.02|9.01,,,0.0,,27.98,28.07,28.45,0.00322,0.0168,neutral,B_long
0000926326-26-000009,OMCL,0000926326,2026-04-28,2026-04-28,2.02|9.01,convertible_debt_issuance,,0.0,,45.51,43.1,43.56,-0.05296,-0.04285,A_short,A_short
0000926326-26-000003,OMCL,0000926326,2026-02-05,2026-02-05,2.02|9.01,convertible_debt_issuance,,0.0,,39.08,37.07,36.18,-0.05143,-0.07421,A_short,A_short
0001104659-25-119083,OMCL,0000926326,2025-12-08,2025-12-08,7.01|9.01,,,0.0,,43.55,43.49,43.27,-0.00138,-0.00643,neutral,neutral
0000926326-25-000029,OMCL,0000926326,2025-10-30,2025-10-30,2.02|9.01,convertible_debt_issuance,,0.0,,33.58,33.57,35.76,-0.0003,0.06492,neutral,A_long
0000926326-25-000026,OMCL,0000926326,2025-10-06,2025-10-06,5.03|9.01,restate,short,0.85,body_keywords,30.52,30.25,29.46,-0.00885,-0.03473,neutral,A_short
0001104659-25-082526,OMCL,0000926326,2025-08-25,2025-08-25,5.02|9.01,restate,short,0.85,body_keywords,33.09,32.72,32.1,-0.01118,-0.02992,B_short,B_short
0000926326-25-000016,OMCL,0000926326,2025-07-31,2025-07-31,2.02|9.01,convertible_debt_issuance,,0.0,,31.01,29.76,31.03,-0.04031,0.00064,A_short,neutral
0001104659-25-056908,OMCL,0000926326,2025-06-05,2025-06-05,5.02|9.01,,,0.0,,30.87,31.0,29.94,0.00421,-0.03013,neutral,A_short
0001104659-25-052464,OMCL,0000926326,2025-05-23,2025-05-23,5.02|5.07|9.01,,,0.0,,28.23,29.61,30.2,0.04888,0.06978,A_long,A_long
0001104659-25-051854,OMCL,0000926326,2025-05-22,2025-05-22,7.01|9.01,buyback_authorized,long,0.7,body_keywords,28.84,28.23,30.37,-0.02115,0.05305,B_short,A_long
0000926326-25-000006,OMCL,0000926326,2025-05-06,2025-05-06,2.02|9.01,convertible_debt_issuance,,0.0,,25.66,24.63,28.0,-0.04014,0.09119,A_short,A_long
0001104659-25-022797,OMCL,0000926326,2025-03-12,2025-03-12,5.02|7.01|9.01,,,0.0,,33.34,32.28,34.7,-0.03179,0.04079,A_short,A_long
0001104659-25-020354,OMCL,0000926326,2025-03-04,2025-03-04,5.02|9.01,restate,short,0.85,body_keywords,37.39,37.82,35.71,0.0115,-0.04493,B_long,A_short
0001104659-25-009872,OMCL,0000926326,2025-02-06,2025-02-06,2.02|9.01,convertible_debt_issuance,,0.0,,39.43,40.16,40.23,0.01851,0.02029,B_long,B_long
0001104659-24-122635,OMCL,0000926326,2024-11-25,2024-11-25,1.01|2.03|3.02|8.01|9.01,convertible_debt_issuance|covenant_violation,short,0.85,body_keywords,45.96,45.45,46.9,-0.0111,0.02045,B_short,B_long
0001104659-24-120206,OMCL,0000926326,2024-11-18,2024-11-18,1.01|8.01|9.01,convertible_debt_issuance|covenant_violation|material_adverse_change|restate,short,0.85,body_keywords,46.05,42.41,45.96,-0.07904,-0.00195,A_short,neutral
0000926326-24-000030,OMCL,0000926326,2024-10-30,2024-10-30,2.02|9.01,convertible_debt_issuance,,0.0,,53.05,48.64,52.5,-0.08313,-0.01037,A_short,B_short
0001104659-24-102781,OMCL,0000926326,2024-09-25,2024-09-25,5.02|9.01,,,0.0,,42.55,42.33,42.3,-0.00517,-0.00588,neutral,neutral
0000926326-24-000024,OMCL,0000926326,2024-08-01,2024-08-01,2.02|9.01,convertible_debt_issuance|partnership_strategic,,0.0,,38.85,39.22,40.2,0.00952,0.03475,neutral,A_long
0001104659-24-065130,OMCL,0000926326,2024-05-24,2024-05-24,5.02|5.07|9.01,,,0.0,,32.63,32.4,31.61,-0.00705,-0.03126,neutral,A_short
0000926326-24-000012,OMCL,0000926326,2024-05-02,2024-05-02,2.02|2.05|9.01,convertible_debt_issuance,,0.0,,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0001104659-24-029356,OMCL,0000926326,2024-02-29,2024-02-29,5.02,,,0.0,,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0000926326-24-000005,OMCL,0000926326,2024-02-08,2024-02-08,2.02|9.01,convertible_debt_issuance,,0.0,,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0000926326-24-000002,OMCL,0000926326,2024-01-11,2024-01-11,5.02|7.01|8.01|9.01,,,0.0,,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0000926326-23-000043,OMCL,0000926326,2023-11-09,2023-11-09,5.02|9.01,,,0.0,,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0001104659-23-113604,OMCL,0000926326,2023-11-02,2023-11-02,2.02|2.05|7.01|9.01,convertible_debt_issuance,,0.0,,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0000926326-23-000039,OMCL,0000926326,2023-10-16,2023-10-16,1.01|2.03|9.01,convertible_debt_issuance|covenant_violation|credit_facility_amendment|material_adverse_change|non_reliance|restate,short,0.95,body_keywords,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0000926326-23-000037,OMCL,0000926326,2023-10-05,2023-10-05,5.02|9.01,,,0.0,,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0000926326-23-000035,OMCL,0000926326,2023-08-16,2023-08-16,5.02,,,0.0,,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0000926326-23-000033,OMCL,0000926326,2023-08-10,2023-08-10,5.02|9.01,,,0.0,,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0000926326-23-000029,OMCL,0000926326,2023-08-03,2023-08-03,5.02|9.01,restate,short,0.85,body_keywords,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0000926326-23-000027,OMCL,0000926326,2023-08-01,2023-08-01,2.02|9.01,convertible_debt_issuance,,0.0,,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0000926326-23-000025,OMCL,0000926326,2023-07-11,2023-07-11,5.02|9.01,,,0.0,,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0001104659-23-066011,OMCL,0000926326,2023-05-30,2023-05-30,5.02|9.01,,,0.0,,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0000926326-23-000020,OMCL,0000926326,2023-05-26,2023-05-26,5.02|5.07|9.01,restate,short,0.85,body_keywords,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0001104659-23-060768,OMCL,0000926326,2023-05-15,2023-05-15,5.02|9.01,restate,short,0.85,body_keywords,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0000926326-23-000011,OMCL,0000926326,2023-05-02,2023-05-02,2.02|9.01,convertible_debt_issuance|partnership_strategic,,0.0,,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0000926326-23-000009,OMCL,0000926326,2023-04-03,2023-04-03,1.01|2.03|9.01,convertible_debt_issuance|covenant_violation|credit_facility_amendment|material_adverse_change|non_reliance|restate,short,0.95,body_keywords,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0001104659-23-026700,OMCL,0000926326,2023-02-28,2023-02-28,2.02|2.05|5.02|9.01,convertible_debt_issuance|partnership_strategic,,0.0,,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0000926326-22-000036,OMCL,0000926326,2022-11-30,2022-11-30,2.05,,,0.0,,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0000926326-22-000031,OMCL,0000926326,2022-11-02,2022-11-02,2.02|9.01,convertible_debt_issuance,,0.0,,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0000926326-22-000029,OMCL,0000926326,2022-10-21,2022-10-21,5.03|9.01,restate,short,0.85,body_keywords,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0001104659-22-101566,OMCL,0000926326,2022-09-20,2022-09-20,7.01|9.01,,,0.0,,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0001104659-22-101360,OMCL,0000926326,2022-09-20,2022-09-20,7.01|9.01,convertible_debt_issuance,,0.0,,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0000926326-22-000025,OMCL,0000926326,2022-08-04,2022-08-04,2.02|8.01|9.01,convertible_debt_issuance,,0.0,,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0000926326-22-000020,OMCL,0000926326,2022-05-31,2022-05-31,5.02|5.07|9.01,,,0.0,,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0000926326-22-000016,OMCL,0000926326,2022-05-24,2022-05-24,5.02,,,0.0,,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0000926326-22-000012,OMCL,0000926326,2022-05-09,2022-05-09,8.01,material_adverse_change,short,0.7,body_keywords,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0000926326-22-000009,OMCL,0000926326,2022-04-28,2022-04-28,2.02|9.01,buyback_authorized|convertible_debt_issuance,long,0.7,body_keywords,30.8,30.28,30.73,-0.01688,-0.00227,B_short,neutral
0001193125-26-209899,GENB,0002100782,2026-05-07,2026-05-07,2.02|9.01,,,0.0,,13.59,13.66,,0.00515,,neutral,
0001193125-26-085780,GENB,0002100782,2026-03-02,2026-03-02,5.03|9.01,restate,short,0.85,body_keywords,12.17,11.93,12.17,-0.01972,0.0,B_short,neutral
0001595974-26-000023,MGNI,0001595974,2026-05-06,2026-05-06,2.02|9.01,convertible_debt_issuance,,0.0,,13.39,14.0,,0.04556,,A_long,
0001595974-26-000016,MGNI,0001595974,2026-04-20,2026-04-20,5.02|7.01|9.01,,,0.0,,14.0,13.08,13.03,-0.06571,-0.06929,A_short,A_short
0001595974-26-000013,MGNI,0001595974,2026-04-10,2026-04-10,5.02,,,0.0,,11.98,12.09,13.71,0.00918,0.14441,neutral,A_long
0001595974-26-000010,MGNI,0001595974,2026-02-25,2026-02-25,2.02|9.01,buyback_authorized|convertible_debt_issuance,long,0.7,body_keywords,11.97,13.48,13.83,0.12615,0.15539,A_long,A_long
0001595974-25-000041,MGNI,0001595974,2025-11-05,2025-11-05,2.02|9.01,convertible_debt_issuance,,0.0,,17.1,14.87,14.21,-0.13041,-0.16901,A_short,A_short
0001595974-25-000035,MGNI,0001595974,2025-09-16,2025-09-16,7.01|8.01|9.01,,,0.0,,23.07,23.85,23.45,0.03381,0.01647,A_long,B_long
0001595974-25-000030,MGNI,0001595974,2025-09-05,2025-09-05,1.01,,long,0.5,item_codes,24.85,25.35,23.87,0.02012,-0.03944,B_long,A_short
0001595974-25-000028,MGNI,0001595974,2025-08-06,2025-08-06,2.02|9.01,convertible_debt_issuance,,0.0,,22.48,21.75,22.84,-0.03247,0.01601,A_short,B_long
0001595974-25-000020,MGNI,0001595974,2025-06-10,2025-06-10,5.07,,,0.0,,17.44,17.68,18.23,0.01376,0.0453,B_long,A_long
0001595974-25-000015,MGNI,0001595974,2025-05-07,2025-05-07,2.02|9.01,convertible_debt_issuance,,0.0,,12.43,14.89,16.59,0.19791,0.33467,A_long,A_long
0001193125-25-056671,MGNI,0001595974,2025-03-18,2025-03-18,1.01|7.01|9.01,convertible_debt_issuance|covenant_violation|material_adverse_change|non_reliance|restate,short,0.95,body_keywords,12.7,13.37,13.53,0.05276,0.06535,A_long,A_long
0001595974-25-000006,MGNI,0001595974,2025-02-26,2025-02-26,2.02|9.01,convertible_debt_issuance,,0.0,,16.86,16.55,14.49,-0.01839,-0.14057,B_short,A_short
0001595974-24-000045,MGNI,0001595974,2024-12-12,2024-12-12,5.02,,,0.0,,16.44,16.47,15.72,0.00182,-0.0438,neutral,A_short
0001595974-24-000039,MGNI,0001595974,2024-11-07,2024-11-07,2.02|9.01,convertible_debt_issuance,,0.0,,13.49,13.61,16.66,0.0089,0.23499,neutral,A_long
0001193125-24-221440,MGNI,0001595974,2024-09-18,2024-09-18,1.01|7.01|9.01,convertible_debt_issuance|covenant_violation|material_adverse_change|non_reliance|restate,short,0.95,body_keywords,13.3,13.24,13.0,-0.00451,-0.02256,neutral,B_short
0001595974-24-000031,MGNI,0001595974,2024-08-07,2024-08-07,2.02|9.01,convertible_debt_issuance,,0.0,,12.9,12.75,12.52,-0.01163,-0.02946,B_short,B_short
0001595974-24-000025,MGNI,0001595974,2024-06-14,2024-06-14,5.07,,,0.0,,13.73,13.86,13.19,0.00947,-0.03933,neutral,A_short
0001595974-24-000020,MGNI,0001595974,2024-05-08,2024-05-08,2.02|9.01,convertible_debt_issuance,,0.0,,9.14,9.04,11.28,-0.01094,0.23414,B_short,A_long
0001595974-24-000012,MGNI,0001595974,2024-02-28,2024-02-28,2.02|9.01,buyback_authorized|convertible_debt_issuance,long,0.7,body_keywords,9.14,9.04,11.28,-0.01094,0.23414,B_short,A_long
0001595974-24-000007,MGNI,0001595974,2024-02-07,2024-02-07,1.01|1.02|2.03|7.01|9.01,buyback_authorized|convertible_debt_issuance|covenant_violation,short,0.85,body_keywords,9.14,9.04,11.28,-0.01094,0.23414,B_short,A_long
0001595974-24-000004,MGNI,0001595974,2024-01-22,2024-01-22,7.01|9.01,convertible_debt_issuance,,0.0,,9.14,9.04,11.28,-0.01094,0.23414,B_short,A_long
0001595974-23-000038,MGNI,0001595974,2023-11-08,2023-11-08,2.02|9.01,buyback_authorized|convertible_debt_issuance,long,0.7,body_keywords,9.14,9.04,11.28,-0.01094,0.23414,B_short,A_long
0001595974-23-000029,MGNI,0001595974,2023-08-09,2023-08-09,2.02|9.01,buyback_authorized|convertible_debt_issuance,long,0.7,body_keywords,9.14,9.04,11.28,-0.01094,0.23414,B_short,A_long
0001595974-23-000024,MGNI,0001595974,2023-06-16,2023-06-16,5.07|9.01,restate,short,0.85,body_keywords,9.14,9.04,11.28,-0.01094,0.23414,B_short,A_long
0001595974-23-000017,MGNI,0001595974,2023-05-10,2023-05-10,2.02|9.01,buyback_authorized|convertible_debt_issuance,long,0.7,body_keywords,9.14,9.04,11.28,-0.01094,0.23414,B_short,A_long
0001595974-23-000008,MGNI,0001595974,2023-02-22,2023-02-22,2.02|9.01,buyback_authorized|convertible_debt_issuance,long,0.7,body_keywords,9.14,9.04,11.28,-0.01094,0.23414,B_short,A_long
0001595974-23-000002,MGNI,0001595974,2023-01-19,2023-01-19,8.01,,,0.0,,9.14,9.04,11.28,-0.01094,0.23414,B_short,A_long
0001595974-22-000057,MGNI,0001595974,2022-11-09,2022-11-09,2.02|9.01,buyback_authorized|convertible_debt_issuance,long,0.7,body_keywords,9.14,9.04,11.28,-0.01094,0.23414,B_short,A_long
0001595974-22-000041,MGNI,0001595974,2022-08-09,2022-08-09,2.02|9.01,buyback_authorized|convertible_debt_issuance,long,0.7,body_keywords,9.14,9.04,11.28,-0.01094,0.23414,B_short,A_long
0001595974-22-000035,MGNI,0001595974,2022-08-03,2022-08-03,5.02,,,0.0,,9.14,9.04,11.28,-0.01094,0.23414,B_short,A_long
0001595974-22-000031,MGNI,0001595974,2022-06-13,2022-06-13,5.07|9.01,,,0.0,,9.14,9.04,11.28,-0.01094,0.23414,B_short,A_long
0001595974-22-000025,MGNI,0001595974,2022-05-04,2022-05-04,2.02|9.01,buyback_authorized|convertible_debt_issuance,long,0.7,body_keywords,9.14,9.04,11.28,-0.01094,0.23414,B_short,A_long
0001104659-26-057128,PUMP,0001680247,2026-05-07,2026-05-07,1.01|2.03|3.02|8.01|9.01,convertible_debt_issuance|covenant_violation|going_concern|non_reliance|restate,short,0.95,body_keywords,15.55,15.68,,0.00836,,neutral,
0001104659-26-054472,PUMP,0001680247,2026-05-04,2026-05-04,7.01|8.01|9.01,convertible_debt_issuance|restate,short,0.85,body_keywords,16.85,16.61,16.65,-0.01424,-0.01187,B_short,B_short
0001680247-26-000058,PUMP,0001680247,2026-04-30,2026-04-30,1.01|2.02|7.01|9.01,buyback_authorized,long,0.7,body_keywords,17.13,16.62,15.55,-0.02977,-0.09224,B_short,A_short
0001680247-26-000024,PUMP,0001680247,2026-02-18,2026-02-18,2.02|9.01,buyback_authorized|underwritten_offering,short,0.75,body_keywords,11.26,11.5,11.65,0.02131,0.03464,B_long,A_long
0001104659-26-012332,PUMP,0001680247,2026-02-10,2026-02-10,1.01|2.03|9.01,restate,short,0.85,body_keywords,11.14,11.62,11.26,0.04309,0.01077,A_long,B_long
0001104659-26-007199,PUMP,0001680247,2026-01-28,2026-01-28,7.01|8.01|9.01,issue_and_sell_shares|material_adverse_change|restate|shelf_takedown|underwritten_offering,short,0.85,body_keywords,10.66,11.44,11.18,0.07317,0.04878,A_long,A_long
0001104659-26-006612,PUMP,0001680247,2026-01-26,2026-01-26,2.02|7.01|8.01|9.01,restate|shelf_takedown|underwritten_offering,short,0.85,body_keywords,11.12,10.75,11.83,-0.03327,0.06385,A_short,A_long
0001680247-25-000158,PUMP,0001680247,2025-12-30,2025-12-30,1.01|9.01,covenant_violation|material_adverse_change|restate,short,0.85,body_keywords,9.53,9.51,9.31,-0.0021,-0.02308,neutral,B_short
0001680247-25-000156,PUMP,0001680247,2025-12-12,2025-12-12,7.01|9.01,buyback_authorized,long,0.7,body_keywords,10.24,10.19,9.11,-0.00488,-0.11035,neutral,A_short
0001680247-25-000143,PUMP,0001680247,2025-10-29,2025-10-29,2.02|9.01,buyback_authorized,long,0.7,body_keywords,11.1,10.84,10.84,-0.02342,-0.02342,B_short,B_short
0001680247-25-000139,PUMP,0001680247,2025-10-27,2025-10-27,7.01|9.01,buyback_authorized,long,0.7,body_keywords,7.19,7.3,10.95,0.0153,0.52295,B_long,A_long
0001680247-25-000120,PUMP,0001680247,2025-07-30,2025-07-30,2.02|9.01,buyback_authorized,long,0.7,body_keywords,5.61,5.36,4.78,-0.04456,-0.14795,A_short,A_short
0001680247-25-000112,PUMP,0001680247,2025-07-14,2025-07-14,5.02|7.01|9.01,restate,short,0.85,body_keywords,6.27,5.75,5.69,-0.08293,-0.0925,A_short,A_short
